Component Name,Original Filename,Area,Mass Info,Sample Name
Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min8 | Sample Number = 140,2710000,146.0 / 128.0,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min8 | Sample Number = 140
Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13F13CglcG9120min8 | Sample Number = 153,886000,146.0 / 128.0,TA13Cglucosewithvaryingglc2Sept13F13CglcG9120min8 | Sample Number = 153
Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13G13CglcG9240min12 | Sample Number = 186,1100000,146.0 / 128.0,TA13Cglucosewithvaryingglc2Sept13G13CglcG9240min12 | Sample Number = 186
Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13F13CglcG9120min10 | Sample Number = 169,1010000,146.0 / 128.0,TA13Cglucosewithvaryingglc2Sept13F13CglcG9120min10 | Sample Number = 169
Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13F13CglcG9120min11 | Sample Number = 177,874000,146.0 / 128.0,TA13Cglucosewithvaryingglc2Sept13F13CglcG9120min11 | Sample Number = 177
Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min20 | Sample Number = 274,0,146.0 / 128.0,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min20 | Sample Number = 274
Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min21 | Sample Number = 282,0,146.0 / 128.0,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min21 | Sample Number = 282
Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min22 | Sample Number = 290,0,146.0 / 128.0,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min22 | Sample Number = 290
Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min23 | Sample Number = 298,0,146.0 / 128.0,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min23 | Sample Number = 298
Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min24 | Sample Number = 306,0,146.0 / 128.0,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min24 | Sample Number = 306
Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13A13CglcG90mincit | Sample Number = 266,0,146.0 / 128.0,TA13Cglucosewithvaryingglc2Sept13A13CglcG90mincit | Sample Number = 266
Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13B13CglcG95min21 | Sample Number = 267,0,146.0 / 128.0,TA13Cglucosewithvaryingglc2Sept13B13CglcG95min21 | Sample Number = 267
Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13B13CglcG95min22 | Sample Number = 275,0,146.0 / 128.0,TA13Cglucosewithvaryingglc2Sept13B13CglcG95min22 | Sample Number = 275
Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13B13CglcG95min23 | Sample Number = 283,0,146.0 / 128.0,TA13Cglucosewithvaryingglc2Sept13B13CglcG95min23 | Sample Number = 283
Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13B13CglcG95min24 | Sample Number = 291,0,146.0 / 128.0,TA13Cglucosewithvaryingglc2Sept13B13CglcG95min24 | Sample Number = 291
Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13B13CglcG95min25 | Sample Number = 299,0,146.0 / 128.0,TA13Cglucosewithvaryingglc2Sept13B13CglcG95min25 | Sample Number = 299
Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13B13CglcG95min26 | Sample Number = 307,0,146.0 / 128.0,TA13Cglucosewithvaryingglc2Sept13B13CglcG95min26 | Sample Number = 307
Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13C13CglcG915min18 | Sample Number = 265,0,146.0 / 128.0,TA13Cglucosewithvaryingglc2Sept13C13CglcG915min18 | Sample Number = 265
Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13C13CglcG915min19 | Sample Number = 268,0,146.0 / 128.0,TA13Cglucosewithvaryingglc2Sept13C13CglcG915min19 | Sample Number = 268
Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13C13CglcG915min20 | Sample Number = 276,0,146.0 / 128.0,TA13Cglucosewithvaryingglc2Sept13C13CglcG915min20 | Sample Number = 276
Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13C13CglcG915min21 | Sample Number = 284,0,146.0 / 128.0,TA13Cglucosewithvaryingglc2Sept13C13CglcG915min21 | Sample Number = 284
Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13C13CglcG915min22 | Sample Number = 292,0,146.0 / 128.0,TA13Cglucosewithvaryingglc2Sept13C13CglcG915min22 | Sample Number = 292
Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13C13CglcG915min23 | Sample Number = 300,0,146.0 / 128.0,TA13Cglucosewithvaryingglc2Sept13C13CglcG915min23 | Sample Number = 300
Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13C13CglcG915min24 | Sample Number = 308,0,146.0 / 128.0,TA13Cglucosewithvaryingglc2Sept13C13CglcG915min24 | Sample Number = 308
Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13D13CglcG930min18 | Sample Number = 269,0,146.0 / 128.0,TA13Cglucosewithvaryingglc2Sept13D13CglcG930min18 | Sample Number = 269
Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13D13CglcG930min19 | Sample Number = 277,0,146.0 / 128.0,TA13Cglucosewithvaryingglc2Sept13D13CglcG930min19 | Sample Number = 277
Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13D13CglcG930min20 | Sample Number = 285,0,146.0 / 128.0,TA13Cglucosewithvaryingglc2Sept13D13CglcG930min20 | Sample Number = 285
Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13D13CglcG930min21 | Sample Number = 293,0,146.0 / 128.0,TA13Cglucosewithvaryingglc2Sept13D13CglcG930min21 | Sample Number = 293
Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13D13CglcG930min22 | Sample Number = 301,0,146.0 / 128.0,TA13Cglucosewithvaryingglc2Sept13D13CglcG930min22 | Sample Number = 301
Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13D13CglcG930min23 | Sample Number = 309,0,146.0 / 128.0,TA13Cglucosewithvaryingglc2Sept13D13CglcG930min23 | Sample Number = 309
Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13E13CglcG960min18 | Sample Number = 270,0,146.0 / 128.0,TA13Cglucosewithvaryingglc2Sept13E13CglcG960min18 | Sample Number = 270
Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13E13CglcG960min19 | Sample Number = 278,0,146.0 / 128.0,TA13Cglucosewithvaryingglc2Sept13E13CglcG960min19 | Sample Number = 278
Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13E13CglcG960min20 | Sample Number = 286,0,146.0 / 128.0,TA13Cglucosewithvaryingglc2Sept13E13CglcG960min20 | Sample Number = 286
Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13E13CglcG960min21 | Sample Number = 294,0,146.0 / 128.0,TA13Cglucosewithvaryingglc2Sept13E13CglcG960min21 | Sample Number = 294
Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13E13CglcG960min22 | Sample Number = 302,0,146.0 / 128.0,TA13Cglucosewithvaryingglc2Sept13E13CglcG960min22 | Sample Number = 302
Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13E13CglcG960min23 | Sample Number = 310,0,146.0 / 128.0,TA13Cglucosewithvaryingglc2Sept13E13CglcG960min23 | Sample Number = 310
Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13F13CglcG9120min18 | Sample Number = 271,0,146.0 / 128.0,TA13Cglucosewithvaryingglc2Sept13F13CglcG9120min18 | Sample Number = 271
Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13F13CglcG9120min19 | Sample Number = 279,0,146.0 / 128.0,TA13Cglucosewithvaryingglc2Sept13F13CglcG9120min19 | Sample Number = 279
Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13F13CglcG9120min20 | Sample Number = 287,0,146.0 / 128.0,TA13Cglucosewithvaryingglc2Sept13F13CglcG9120min20 | Sample Number = 287
Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13F13CglcG9120min21 | Sample Number = 295,0,146.0 / 128.0,TA13Cglucosewithvaryingglc2Sept13F13CglcG9120min21 | Sample Number = 295
Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13F13CglcG9120min22 | Sample Number = 303,0,146.0 / 128.0,TA13Cglucosewithvaryingglc2Sept13F13CglcG9120min22 | Sample Number = 303
Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13F13CglcG9120min23 | Sample Number = 311,0,146.0 / 128.0,TA13Cglucosewithvaryingglc2Sept13F13CglcG9120min23 | Sample Number = 311
Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13G13CglcG9240min18 | Sample Number = 272,0,146.0 / 128.0,TA13Cglucosewithvaryingglc2Sept13G13CglcG9240min18 | Sample Number = 272
Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13G13CglcG9240min19 | Sample Number = 280,0,146.0 / 128.0,TA13Cglucosewithvaryingglc2Sept13G13CglcG9240min19 | Sample Number = 280
Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13G13CglcG9240min20 | Sample Number = 288,0,146.0 / 128.0,TA13Cglucosewithvaryingglc2Sept13G13CglcG9240min20 | Sample Number = 288
Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13G13CglcG9240min21 | Sample Number = 296,0,146.0 / 128.0,TA13Cglucosewithvaryingglc2Sept13G13CglcG9240min21 | Sample Number = 296
Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13G13CglcG9240min22 | Sample Number = 304,0,146.0 / 128.0,TA13Cglucosewithvaryingglc2Sept13G13CglcG9240min22 | Sample Number = 304
Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13G13CglcG9240min23 | Sample Number = 312,0,146.0 / 128.0,TA13Cglucosewithvaryingglc2Sept13G13CglcG9240min23 | Sample Number = 312
Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13H66DDglcG9240min18 | Sample Number = 273,0,146.0 / 128.0,TA13Cglucosewithvaryingglc2Sept13H66DDglcG9240min18 | Sample Number = 273
Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13H66DDglcG9240min19 | Sample Number = 281,0,146.0 / 128.0,TA13Cglucosewithvaryingglc2Sept13H66DDglcG9240min19 | Sample Number = 281
Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13H66DDglcG9240min20 | Sample Number = 289,0,146.0 / 128.0,TA13Cglucosewithvaryingglc2Sept13H66DDglcG9240min20 | Sample Number = 289
Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13H66DDglcG9240min21 | Sample Number = 297,0,146.0 / 128.0,TA13Cglucosewithvaryingglc2Sept13H66DDglcG9240min21 | Sample Number = 297
Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13H66DDglcG9240min22 | Sample Number = 305,0,146.0 / 128.0,TA13Cglucosewithvaryingglc2Sept13H66DDglcG9240min22 | Sample Number = 305
Glutamate 146/128,TA13Cglucosewithvaryingglc2Sept13H66DDglcG9240min23 | Sample Number = 313,0,146.0 / 128.0,TA13Cglucosewithvaryingglc2Sept13H66DDglcG9240min23 | Sample Number = 313
Glutamate 147/129,TA13Cglucosewithvaryingglc2Sept13H66DDglcG9240min10 | Sample Number = 171,287000,147.0 / 129.0,TA13Cglucosewithvaryingglc2Sept13H66DDglcG9240min10 | Sample Number = 171
Glutamate 147/129,TA13Cglucosewithvaryingglc2Sept13H66DDglcG9240min7 | Sample Number = 147,237000,147.0 / 129.0,TA13Cglucosewithvaryingglc2Sept13H66DDglcG9240min7 | Sample Number = 147
Glutamate 147/129,TA13Cglucosewithvaryingglc2Sept13H66DDglcG9240min9 | Sample Number = 163,222000,147.0 / 129.0,TA13Cglucosewithvaryingglc2Sept13H66DDglcG9240min9 | Sample Number = 163
Glutamate 147/129,TA13Cglucosewithvaryingglc2Sept13H66DDglcG9240min11 | Sample Number = 179,207000,147.0 / 129.0,TA13Cglucosewithvaryingglc2Sept13H66DDglcG9240min11 | Sample Number = 179
Glutamate 147/129,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min11 | Sample Number = 164,166000,147.0 / 129.0,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min11 | Sample Number = 164
Glutamate 147/129,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min8 | Sample Number = 140,169000,147.0 / 129.0,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min8 | Sample Number = 140
Glutamate 147/129,TA13Cglucosewithvaryingglc2Sept13H66DDglcG9240min8 | Sample Number = 155,162000,147.0 / 129.0,TA13Cglucosewithvaryingglc2Sept13H66DDglcG9240min8 | Sample Number = 155
Glutamate 147/129,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min12 | Sample Number = 172,155000,147.0 / 129.0,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min12 | Sample Number = 172
Glutamate 147/129,TA13Cglucosewithvaryingglc2Sept13B13CglcG95min13 | Sample Number = 173,161000,147.0 / 129.0,TA13Cglucosewithvaryingglc2Sept13B13CglcG95min13 | Sample Number = 173
Glutamate 147/129,TA13Cglucosewithvaryingglc2Sept13D13CglcG930min12 | Sample Number = 183,130000,147.0 / 129.0,TA13Cglucosewithvaryingglc2Sept13D13CglcG930min12 | Sample Number = 183
Glutamate 147/129,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min9 | Sample Number = 148,157000,147.0 / 129.0,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min9 | Sample Number = 148
Glutamate 147/129,TA13Cglucosewithvaryingglc2Sept13G13CglcG9240min8 | Sample Number = 154,128000,147.0 / 129.0,TA13Cglucosewithvaryingglc2Sept13G13CglcG9240min8 | Sample Number = 154
Glutamate 147/129,TA13Cglucosewithvaryingglc2Sept13G13CglcG9240min9 | Sample Number = 162,156000,147.0 / 129.0,TA13Cglucosewithvaryingglc2Sept13G13CglcG9240min9 | Sample Number = 162
Glutamate 147/129,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min10 | Sample Number = 156,124000,147.0 / 129.0,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min10 | Sample Number = 156
Glutamate 147/129,TA13Cglucosewithvaryingglc2Sept13D13CglcG930min7 | Sample Number = 143,140000,147.0 / 129.0,TA13Cglucosewithvaryingglc2Sept13D13CglcG930min7 | Sample Number = 143
Glutamate 147/129,TA13Cglucosewithvaryingglc2Sept13G13CglcG9240min7 | Sample Number = 146,124000,147.0 / 129.0,TA13Cglucosewithvaryingglc2Sept13G13CglcG9240min7 | Sample Number = 146
Glutamate 147/129,TA13Cglucosewithvaryingglc2Sept13B13CglcG95min11 | Sample Number = 157,133000,147.0 / 129.0,TA13Cglucosewithvaryingglc2Sept13B13CglcG95min11 | Sample Number = 157
Glutamate 147/129,TA13Cglucosewithvaryingglc2Sept13C13CglcG915min12 | Sample Number = 182,125000,147.0 / 129.0,TA13Cglucosewithvaryingglc2Sept13C13CglcG915min12 | Sample Number = 182
Glutamate 147/129,TA13Cglucosewithvaryingglc2Sept13B13CglcG95min10 | Sample Number = 149,122000,147.0 / 129.0,TA13Cglucosewithvaryingglc2Sept13B13CglcG95min10 | Sample Number = 149
Glutamate 147/129,TA13Cglucosewithvaryingglc2Sept13B13CglcG95min9 | Sample Number = 141,131000,147.0 / 129.0,TA13Cglucosewithvaryingglc2Sept13B13CglcG95min9 | Sample Number = 141
Glutamate 147/129,TA13Cglucosewithvaryingglc2Sept13E13CglcG960min10 | Sample Number = 168,138000,147.0 / 129.0,TA13Cglucosewithvaryingglc2Sept13E13CglcG960min10 | Sample Number = 168
Glutamate 147/129,TA13Cglucosewithvaryingglc2Sept13G13CglcG9240min11 | Sample Number = 178,127000,147.0 / 129.0,TA13Cglucosewithvaryingglc2Sept13G13CglcG9240min11 | Sample Number = 178
Glutamate 147/129,TA13Cglucosewithvaryingglc2Sept13F13CglcG9120min7 | Sample Number = 145,108000,147.0 / 129.0,TA13Cglucosewithvaryingglc2Sept13F13CglcG9120min7 | Sample Number = 145
Glutamate 147/129,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min13 | Sample Number = 180,156000,147.0 / 129.0,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min13 | Sample Number = 180
Glutamate 147/129,TA13Cglucosewithvaryingglc2Sept13E13CglcG960min11 | Sample Number = 176,130000,147.0 / 129.0,TA13Cglucosewithvaryingglc2Sept13E13CglcG960min11 | Sample Number = 176
Glutamate 147/129,TA13Cglucosewithvaryingglc2Sept13G13CglcG9240min12 | Sample Number = 186,137000,147.0 / 129.0,TA13Cglucosewithvaryingglc2Sept13G13CglcG9240min12 | Sample Number = 186
Glutamate 147/129,TA13Cglucosewithvaryingglc2Sept13E13CglcG960min7 | Sample Number = 144,122000,147.0 / 129.0,TA13Cglucosewithvaryingglc2Sept13E13CglcG960min7 | Sample Number = 144
Glutamate 147/129,TA13Cglucosewithvaryingglc2Sept13D13CglcG930min9 | Sample Number = 159,114000,147.0 / 129.0,TA13Cglucosewithvaryingglc2Sept13D13CglcG930min9 | Sample Number = 159
Glutamate 147/129,TA13Cglucosewithvaryingglc2Sept13B13CglcG95min14 | Sample Number = 181,133000,147.0 / 129.0,TA13Cglucosewithvaryingglc2Sept13B13CglcG95min14 | Sample Number = 181
Glutamate 147/129,TA13Cglucosewithvaryingglc2Sept13G13CglcG9240min10 | Sample Number = 170,157000,147.0 / 129.0,TA13Cglucosewithvaryingglc2Sept13G13CglcG9240min10 | Sample Number = 170
Glutamate 147/129,TA13Cglucosewithvaryingglc2Sept13E13CglcG960min12 | Sample Number = 184,108000,147.0 / 129.0,TA13Cglucosewithvaryingglc2Sept13E13CglcG960min12 | Sample Number = 184
Glutamate 147/129,TA13Cglucosewithvaryingglc2Sept13B13CglcG95min12 | Sample Number = 165,133000,147.0 / 129.0,TA13Cglucosewithvaryingglc2Sept13B13CglcG95min12 | Sample Number = 165
Glutamate 147/129,TA13Cglucosewithvaryingglc2Sept13F13CglcG9120min12 | Sample Number = 185,110000,147.0 / 129.0,TA13Cglucosewithvaryingglc2Sept13F13CglcG9120min12 | Sample Number = 185
Glutamate 147/129,TA13Cglucosewithvaryingglc2Sept13D13CglcG930min10 | Sample Number = 167,127000,147.0 / 129.0,TA13Cglucosewithvaryingglc2Sept13D13CglcG930min10 | Sample Number = 167
